derivative,pipeline,strategy,rank,fold,n_train,n_test,CP_params,dense_params,compression,N_CYCLES,LOGREG_C,SUBJECT_ZSCORE,test_auc,test_acc,test_sens_ASD,test_spec_CONTROL,test_tp_ASD,test_fn_ASD,test_fp_ASD,test_tn_CONTROL,test_pred_1,test_prob_mean,test_prob_std,bias,elapsed_sec
falff,cpac,filt_noglobal,6,1,589,295,1170,271633,232.16495726495725,5,0.3,True,0.5052719200887903,0.535593220338983,0.4852941176113754,0.5786163521648668,66,70,67,92,133,0.4553925096988678,0.37889596819877625,1.6348044421139787,21.48973035812378
falff,cpac,filt_noglobal,6,2,589,295,1170,271633,232.16495726495725,5,0.3,True,0.5092952275249722,0.49830508474576274,0.49264705878730536,0.503144654056406,67,69,79,80,146,0.4887797236442566,0.38687220215797424,1.1190093814620514,14.841601610183716
falff,cpac,filt_noglobal,6,3,590,294,1170,271633,232.16495726495725,5,0.3,True,0.5079113924050633,0.47619047619047616,0.42647058820393596,0.5189873417393046,58,78,76,82,134,0.46075552701950073,0.3868314027786255,1.8886881119631342,16.448025465011597
falff,cpac,filt_noglobal,8,1,589,295,1560,271633,174.12371794871794,5,0.3,True,0.5518867924528301,0.5491525423728814,0.49999999996323524,0.5911949685162771,68,68,65,94,133,0.46432268619537354,0.3784475028514862,3.3844929180094048,18.976895570755005
falff,cpac,filt_noglobal,8,2,589,295,1560,271633,174.12371794871794,5,0.3,True,0.6243063263041065,0.6101694915254238,0.5808823528984645,0.6352201257462126,79,57,58,101,137,0.4664522707462311,0.3850914537906647,4.009939178373981,22.06622290611267
falff,cpac,filt_noglobal,8,3,590,294,1560,271633,174.12371794871794,5,0.3,True,0.5564035740878631,0.5340136054421769,0.40441176467614615,0.6455696202123057,55,81,56,102,111,0.4077227711677551,0.36935946345329285,-0.019831126597470855,22.533634662628174
falff,cpac,filt_noglobal,9,1,589,295,1755,271633,154.7766381766382,5,0.3,True,0.5368109507954124,0.5220338983050847,0.45588235290765566,0.5786163521648668,62,74,67,92,129,0.45704934000968933,0.3864455223083496,2.6711856941632925,14.848101377487183
falff,cpac,filt_noglobal,9,2,589,295,1755,271633,154.7766381766382,5,0.3,True,0.5534128745837957,0.5457627118644067,0.4632352940835856,0.6163522012190973,63,73,61,98,124,0.446668416261673,0.36863428354263306,2.0198823965097366,15.55253553390503
falff,cpac,filt_noglobal,9,3,590,294,1755,271633,154.7766381766382,5,0.3,True,0.5573343261355175,0.5306122448979592,0.5073529411391652,0.5506329113575549,69,67,71,87,140,0.48742929100990295,0.3846856355667114,2.714439566383665,16.08288335800171
